編號,韓文,羅馬拼音,中文,英文
4477,한결,hangyeol,更加、顯著地,"Stands out conspicuously, especially"
4478,한여름,hanyeoreum,仲夏、盛夏,"Midsummer, the middle of summer"
4479,항공,hanggong,航空,An airport
4480,호선,hoseon,號線（地鐵線路）,The track number for a train
4481,회전,hoejeon,旋轉、轉動,"Revolution, rotation"
4482,휴지,hyuji,衛生紙、廢紙,Toilet paper
4483,가위,gawi,剪刀,Scissors
4484,고속,gosok,高速,High speed
4485,곧다,gotda,筆直、正直,Be straight or upright or erect
4486,골치,golchi,腦袋、頭痛事,Worry or anxiety
4487,구하다,guhada,拯救、挽救,Rescue a person
4488,내달,naedal,下個月,Next month
4489,넷째,netjjae,第四,Fourth
4490,놔두다,nwaduda,擱置、放著不管,"Leave as it is, let it be"
4491,늦어지다,neujeojida,變遲、延誤,To become late
4492,도망가다,domanggada,逃跑、逃走,"Make a go for it, escape"
4493,독하다,dokhada,毒辣、劇烈、狠毒,Be poison
4494,만,man,值得、足以、達到...程度,To be of sufficient quantity
4495,명단,myeongdan,名單,List of names
4496,무의미하다,muuimihada,無意義、徒勞,Be nonsense
4497,문구,mungu,文句、詞句,"passage,paragraph"
4498,뭣,mwot,什麼（무엇的略語）,What (thing)?
4499,미만,miman,未滿、不足,"under,below ; less than"
4500,백색,baeksaek,白色,White
4501,비바람,bibaram,風雨、狂風暴雨,Rain and wind
4502,사기,sagi,士氣 / 詐欺,"morale,fighting spirit"
4503,사망하다,samanghada,死亡、逝世,"To decease,pass away"
4504,사무직,samujik,白領、內勤、事務職,Working in the office not in the factory
4505,소질,sojil,潛質、資質、素質,"temperament,character"
4506,솜,som,棉花,Cotton
4507,시디롬,sidirom,CD-ROM,Cd-rom
4508,식생활,siksaenghwal,飲食生活,Dietary life
4509,신호등,sinhodeung,紅綠燈、交通信號燈,"Signal light, blinker"
4510,신혼여행,sinhonyeohaeng,蜜月旅行,the honeymoon (the trip after the wedding)
4511,실,sil,線、線條,Thread (to wind thread)
4512,씩씩하다,ssikssikhada,勇敢、精神抖擻,"Be brave,valiant"
4513,연구실,yeongusil,研究室、實驗室,A laboratory
4514,월드컵,woldeukeop,世界盃,World cup
4515,유머,yumeo,幽默,Humor
4516,의류,uiryu,服裝、衣物,"Clothes, dresses; clothing"
4517,입원,ibwon,住院,Hospitalization
4518,잊혀지다,ithyeojida,被遺忘（被動）,To become forgotten
4519,잘살다,jalsalda,富裕、生活過得好,"To be affluent, well-off"
4520,장가,jangga,娶妻、結婚（男子）,To get married
4521,적응,jeogeung,適應,Adaptation
4522,정리되다,jeongridoeda,被整理、整頓好（被動）,To be adjusted
4523,조,jo,組、隊伍,"A company,group"
4524,졸업생,joreopsaeng,畢業生,A graduate
4525,죽다,jukda,喪氣、垂頭喪氣 / 死亡,Lose your spirit
4526,창피하다,changpihada,丟臉、羞愧,To be ashamed
4527,친절,chinjeol,親切、熱情,"Kindness, goodness"
4528,침실,chimsil,臥室、臥房,Bedroom
4529,태권도,taegwondo,跆拳道,Tae kwon do
4530,토론하다,toronhada,討論、辯論,"To debate, discuss"
4531,하나하나,hanahana,每一件事、每個細節,Each individual piece
4532,합하다,haphada,契合、相合 / 合併,"Harmonize with, be in accord with"
4533,핸드백,haendeubaek,手提包,Handbag
4534,햄버거,haembeogeo,漢堡,Hamburger
4535,가정교사,gajeonggyosa,家庭教師、家教,Private tutor
4536,감사,gamsa,感謝、感激,Thanks
4537,공통적,gongtongjeok,共通的、普遍的,Commonly
4538,교육자,gyoyukja,教育家、教育工作者,An educator
4539,교재,gyojae,教材、教學材料,Teaching material or insruction materials
4540,기타,gita,吉他,Guitar
4541,길어지다,gireojida,變長、拉長,To become long
4542,깨소금,kkaesogeum,芝麻鹽、炒芝麻,Powdered sesame mixed with salt
4543,나빠지다,nappajida,變差、惡化,To become worse
4544,남,nam,男子、男人,A man
4545,놓아두다,noaduda,擱置、放任不管,"Leave as it is, let it be"
4546,대접하다,daejeophada,款待、招待,Treatment
4547,무궁화,mugunghwa,木槿花,The rose of Sharon
4548,바이러스,baireoseu,病毒,Virus
4549,방바닥,bangbadak,房間地板,room’s floor
4550,번거롭다,beongeoropda,繁瑣、麻煩,Be troublesome. 할 일이 많아서 아주 바쁘다
4551,사냥,sanyang,打獵、狩獵,"Hunting, a hunt"
4552,사회생활,sahoesaenghwal,社會生活,Social life
4553,설거지,seolgeoji,洗碗、刷洗餐具,Dishwashing
4554,수년,sunyeon,數年、好幾年,Several years
4555,수출하다,suchulhada,出口、外銷,To export
4556,숙소,sukso,住宿處、住所,one’s address
4557,슈퍼마켓,syupeomaket,超級市場、超市,Supermarket
4558,심리적,simrijeok,心理上的,Psychological
4559,연기,yeongi,推遲、延期,"postponement,deferment"
4560,위로,wiro,安慰、慰藉,"consolation,solace"
4561,이용자,iyongja,使用者、用戶,A user; visitor
4562,입력하다,ipryeokhada,輸入（資料）,To input (data into the computer)
4563,자격증,jagyeokjeung,資格證、執照,A qualification certificate
4564,진료,jinryo,診療、看診,Medical examination and treatment
4565,창가,changga,窗邊、窗沿,"Next to a window, or, the window’s edge"
4566,초조하다,chojohada,焦慮、焦急不安,"Be impatient, irritated"
4567,타다,tada,沖泡、溶解、摻入,"Put in, mix, dissolve"
4568,한잔하다,hanjanhada,喝一杯,To drink a glass of liquor
4569,함께하다,hamkkehada,一起、共同進行,"To do it together, with somebody"
4570,합격하다,hapgyeokhada,及格、考上,To pass an exam
4571,화장지,hwajangji,衛生紙、化妝紙,Soft paper used when applying makeup
4572,힘껏,himkkeot,盡力、竭盡全力,With all one’s might
4573,가요,gayo,歌謠、流行歌曲,A song
4574,감상,gamsang,感想、鑑賞,Appreciation
4575,공짜,gongjja,免費、白送,Free
4576,공통되다,gongtongdoeda,共通、共有（被動）,To be common
4577,그만하다,geumanhada,就此、差不多那樣,Be about the same or be neither better nor worse
4578,나들이,nadeuri,出門、郊遊、走走,"Going out, an outing ; making a short visit to sb or somewhere"
4579,녹이다,nogida,融化、融解,"Melt, dissolve"
4580,눈가,nunga,眼角、眼眶周圍,The eye rims
4581,도망,domang,逃跑、逃亡,Escape
4582,모기,mogi,蚊子,A mosquito
4583,미니,mini,迷你,Mini
4584,방면,bangmyeon,方面、方向,Direction
4585,법적,beopjeok,法律上的、法定的,Legal
4586,벤치,benchi,長凳、長椅,Bench
4587,보수,bosu,修補、維修、修繕,"mending,repair"
4588,볼일,boril,事情、要辦的事,"business,errand,engagement"
4589,부끄러움,bukkeureoum,羞愧、不好意思,"shame,disgrace"
4590,비누,binu,肥皂、香皂,Soap
4591,비행,bihaeng,不良行為、越軌行為,An irregularity
4592,빗줄기,bitjulgi,雨線、急雨,Great streaks of rain
4593,사회학,sahoehak,社會學,Social science
4594,성적,seongjeok,性方面的、性別的,Sexual
4595,세수,sesu,洗臉、洗漱,Hand-washing
4596,순진하다,sunjinhada,純真、天真,"To be naive,pure"
4597,스웨터,seuweteo,毛衣,Sweater
4598,심심하다,simsimhada,無聊、百無聊賴,to be bored
4599,어려워지다,eoryeowojida,變難、陷入困境,To become difficult
4600,여행사,yeohaengsa,旅行社,Travel agency
4601,올라서다,olraseoda,站上、登上,Stand up
4602,왼손,oenson,左手,Left hand
4603,유학생,yuhaksaeng,留學生,A foreign student
4604,은,eun,銀、白銀,Silver
4605,자리,jari,席位、座位、位置,A spot at a table
4606,잘생기다,jalsaenggida,長得英俊、帥氣,To be handsome
4607,장애인,jangaein,身心障礙者、殘障人士,A handicapped person
4608,재활용품,jaehwaryongpum,資源回收物、再生品,A recycled product
4609,저러다,jeoreoda,那樣做、那樣,Like that
4610,저리,jeori,那邊、那裡,That place
4611,절약하다,jeoryakhada,節約、節省,To economize
4612,정반대,jeongbandae,正相反、截然相反,"Direct opposition, the exact reverse"
4613,진동,jindong,振動、震顫 / 瀰漫,"vibration,shake"
4614,찌개,jjigae,鍋物、湯鍋、燉湯,A pot stew
4615,추천,chucheon,推薦,A recommendation
4616,학점,hakjeom,學分,"A unit, a point, a credit"
4617,한가하다,hangahada,清閒、悠閒,"To be free, not busy"
4618,합격,hapgyeok,合格、考取、通過,Success in an examination
4619,환영하다,hwanyeonghada,歡迎,To welcome
4620,간접적,ganjeopjeok,間接的,Indirect or mediate
4621,갈다,galda,更換、替換,Renew or substitute ; same as 바꾸다
4622,경영하다,gyeongyeonghada,經營、管理,To manage or adminster
4623,그리움,geurium,思念、懷念,Yearning or affection
4624,그사이,geusai,其間、那段時間,The while or the meantime
4625,기념하다,ginyeomhada,紀念,Commemorate
4626,기도,gido,祈禱、禱告,A prayer
4627,길거리,gilgeori,街道、路邊,A street
4628,꽃잎,kkochip,花瓣,A petal
4629,넥타이,nektai,領帶,Necktie
4630,대강,daegang,大致、大綱、梗概,General principles
4631,독립하다,dokriphada,獨立,To become independent
4632,문밖,munbak,門外,Outside the door
4633,방송하다,bangsonghada,播送、廣播、播放,Broadcast
4634,보충하다,bochunghada,補充、補足,"replenish,replace,fillup"
4635,불완전하다,burwanjeonhada,不完全、不完美,To be imerfect
4636,불평,bulpyeong,抱怨、牢騷、不滿,Dissatisfaction
4637,붐비다,bumbida,擁擠、門庭若市,"Be congested,crowded ; to be full of"
4638,생활환경,saenghwalhwangyeong,生活環境,Life environment
4639,서명,seomyeong,簽名、簽署,"signing,autographing"
4640,손등,sondeung,手背,The back of the hand
4641,역사학,yeoksahak,歷史學,The study of history
4642,영,yeong,完全、根本（加否定） / 永遠,"Really, totally"
4643,오리,ori,鴨子、野鴨,Duck
4644,요리사,yorisa,廚師、料理師,"A chef, a cook"
4645,원,won,哎呀、天哪（感嘆詞）,Goodness! Gracious!
4646,원서,wonseo,申請書、原著,"An application, a written request"
4647,월,wol,月、月份,A month
4648,이론적,ironjeok,理論上的,Theoretical
4649,이제야,ijeya,如今才、這才,These days
4650,임신하다,imsinhada,懷孕、受孕,To be pregnant
4651,입원하다,ibwonhada,住院,To enter a hospital
4652,자취,jachwi,蹤跡、痕跡,"A trace,vestige"
4653,잠그다,jamgeuda,鎖上、扣上、浸泡,To lock
4654,잡수시다,japsusida,吃、享用（敬語）,"eat,drink"
4655,장난감,jangnangam,玩具,A toy
4656,장례,jangrye,葬禮、喪禮,A funeral
4657,전기밥솥,jeongibapsot,電子鍋、電鍋,Electric rice cooker
4658,지금껏,jigeumkkeot,至今、到現在為止,"So far, till now"
4659,지름길,jireumgil,捷徑,A shortcut
4660,지진,jijin,地震,Earthquake
4661,참석자,chamseokja,出席者、與會者,Persons present
4662,창구,changgu,窗口、櫃檯窗口,A window
4663,최저,choejeo,最低、底限,"The lowest, the minimum/lowest price"
4664,코미디,komidi,喜劇,Comedy
4665,튀기다,twigida,油炸 / 濺起、彈射,"To fry; splash, splatter"
4666,필수,pilsu,必需、必不可少,"necessary,indispensable"
4667,하품,hapum,哈欠,Yawning
4668,한국말,hangungmal,韓語、韓國話,Korean (language)
4669,횟수,hoetsu,次數、回數,"The number of times, the frequency"
4670,흐리다,heurida,混濁、模糊、微帶暗色,"Be muddy, cloudy ; with a tint of"
4671,가능,ganeung,可能性、可能,Possibility
4672,값싸다,gapssada,廉價、便宜,Cheap or low-priced
4673,계란,gyeran,雞蛋,An egg
4674,교문,gyomun,校門,A school gate
4675,권투,gwontu,拳擊,Boxing or K1
4676,긴장감,ginjanggam,緊張感,Feeling of tension
4677,김,gim,水蒸氣 / 氣味,"1) Steam 2) scent, aroma"
4678,넷,net,四（純韓文數詞）,4
4679,매달다,maedalda,懸掛、吊掛,"Bind up, hang: 묶어서 드리우거나 걸다."
4680,매주,maeju,每週、每個星期,Every week
4681,문제되다,munjedoeda,成問題、引發爭議（被動）,Become a problem
4682,받침,batchim,支撐物、托墊 / 收音（韓文字底）,"Support, prop"
4683,북,buk,北方、北面,North
4684,불이익,buriik,不利益、吃虧、損害,"disadvantage,drawback"
4685,불필요하다,bulpiryohada,不需要、多餘,To be unnecessary
4686,산부인과,sanbuingwa,婦產科,Obstetrics and gynecology
4687,새우다,saeuda,熬夜、徹夜不眠,Sit up all night
4688,서명하다,seomyeonghada,簽名、簽署,To sign
4689,수,su,辦法、策略 / 手數,"way,method"
4690,수고하다,sugohada,辛苦、付出勞力,To work hard
4691,수학,suhak,數學 / 修學、求學,Pursuit of knowledge
4692,신부,sinbu,神父 / 新娘,"A holy father,priest"
4693,쓸데없다,sseuldeeopda,無用、沒必要,To be useless
4694,아뇨,anyo,不、不是（平語/敬語短語）,"No, nay"
4695,아래쪽,araejjok,下方、下側,"The lower part, the bottom"
4696,아스팔트,aseupalteu,柏油、瀝青,Asphalt
4697,아하,aha,啊哈、恍然大悟貌,Dear me! Goodness!
4698,알코올,alkool,酒精、乙醇,Alcohol
4699,액세서리,aekseseori,配件、飾品,Accessory
4700,에어컨,eeokeon,冷氣機、空調,Air conditioner
4701,염려하다,yeomryeohada,擔憂、掛念,"To worry, be anxious about"
4702,오이,oi,黃瓜,Cucumber
4703,외삼촌,oesamchon,舅舅,An uncle on one’s mother’s side
4704,요,yo,這個、這（冠形詞） / 被褥,Right near at hand
4705,웃음소리,useumsori,笑聲,The sound of laughing
4706,위쪽,wijjok,上方、上側,The upper direction
4707,음료수,eumryosu,飲料、飲用水,Drinking water
4708,인쇄,inswae,印刷,"printing,typography"
4709,잔디,jandi,草皮、草坪,Lawn
4710,전세,jeonse,全租房、全稅租賃,renting with a big downpayment and not paying month to month
4711,조깅,joging,慢跑,Jogging
4712,초대,chodae,邀請、招待,An invitation
4713,치다,chida,侵襲、肆虐（風雨/雷電）,"(a storm, strong wind, rain, lightning) to strike, hit"
4714,캠퍼스,kaempeoseu,校園,Campus
4715,터널,teoneol,隧道,Tunnel
4716,통,tong,封、通（信件/公文量詞）,Counters for letters
4717,퇴직금,toejikgeum,退休金、遣散費,Retirement grants
4718,환갑,hwangap,花甲、六十歲壽辰,one’s 60th anniversary
4719,가만있다,gamanitda,保持安靜、紋風不動,Remain still or motionless
4720,간편하다,ganpyeonhada,簡便、方便,Simplicity or convenience
4721,감동적,gamdongjeok,感人的、令人動容的,Sensational
4722,건너오다,geonneooda,過來、渡過來,To come across to this side of something
4723,관광지,gwangwangji,觀光勝地、旅遊景點,Tourist area
4724,교복,gyobok,校服、學生制服,School uniform
4725,교포,gyopo,僑胞、韓僑,A Korean living abroad
4726,귀가하다,gwigahada,回家,To return home
4727,날아다니다,naradanida,飛來飛去、到處飛翔,Fly about
4728,마음씨,maeumssi,心地、心腸,"Disposition, nature"
4729,만,man,整整、滿、剛好,"Just, full"
4730,메모,memo,便條、備忘錄,Memo
4731,몇십,myeotsip,幾十、數十,In the tens
4732,몸매,mommae,身材、體態,one’s figure
4733,몸무게,mommuge,體重,Body weight
4734,무관심,mugwansim,漠不關心、毫無興趣,"Indifference, unconcern"
4735,반짝이다,banjjagida,閃閃發光、閃爍,"Shine, glitter"
4736,배달,baedal,外送、配送、遞送,Delivery
4737,번역,beonyeok,翻譯、筆譯,Translation
4738,부인,buin,夫人、妻子,Wife
4739,분주하다,bunjuhada,忙碌、紛忙,"Be busy,crowded"
4740,비닐봉지,binilbongji,塑膠袋,Plastic bag
4741,비판적,bipanjeok,批判性的,Critical
4742,뺏다,ppaetda,奪取、搶奪,Straight
4743,사전,sajeon,辭典、字典,Dictionary
4744,서랍,seorap,抽屜,A drawer
4745,소나기,sonagi,陣雨、雷陣雨,A sudden rain shower
4746,소중히,sojunghi,珍貴地、珍惜地,"seriously,with care"
4747,손잡이,sonjabi,把手、手柄、拉手,"A handle,knob"
4748,수도꼭지,sudokkokji,水龍頭,"A faucet,tap"
4749,실례,silrye,失禮、冒犯,"rudeness,impolite"
4750,싸구려,ssaguryeo,廉價品、地攤貨,"cheap,inferior (a bargain)"
4751,안녕,annyeong,平安、問候（你好/再見）,hello/goodbye
4752,안되다,andoeda,不行、不被接受 / 遺憾,To refuse to accept
4753,약국,yakguk,藥局、藥房,Pharmacy
4754,어찌나,eojjina,多麼地、何其（表示程度深）,"extremely,quite,awfully"
4755,엉터리,eongteori,荒謬、胡扯、冒牌,"Fake, sham"
4756,연하다,yeonhada,柔軟、鮮嫩、清淡,"Tender, soft, mild"
4757,원숭이,wonsungi,猴子,A monkey
4758,위법,wibeop,違法,"illegality,a breach of the law"
4759,육체적,yukchejeok,肉體上的、身體的,"Corporeal, of the flesh"
4760,음력,eumryeok,農曆、陰曆,The lunar calendar
4761,이혼,ihon,離婚,Divorce
4762,일회용,ilhoeyong,一次性的、免洗的,For one time use
4763,잔디밭,jandibat,草坪、草地,"lawn,grass"
4764,저기,jeogi,那裡、喂（招呼語）,"“hey,look here,now”"
4765,전문직,jeonmunjik,專業職、專職,Specialty job
4766,전화기,jeonhwagi,電話機,Telephone receiver
4767,제출,jechul,提交、提出,"presentation,submission"
4768,지난주,jinanju,上週、上星期,Last week
4769,진달래,jindalrae,金達萊、杜鵑花,Azalea
4770,쪽,jjok,一份、一頁、一片,"A portion, a side"
4771,찌다,jjida,剁、劈、砍,"chop,hack"
4772,차남,chanam,次子、二兒子,one’s second eldest son
4773,채점,chaejeom,評分、批改,"marking,grading,scoring"
4774,침착하다,chimchakhada,沉著、冷靜,"Self-possession, composure"
4775,캄캄하다,kamkamhada,漆黑、昏暗,To be pitch-black
4776,타자기,tajagi,打字機,A typewriter
4777,팬티,paenti,內褲,Panties (male and female underwear)
4778,편히,pyeonhi,安逸地、舒服地,"Easily, comfortably"
4779,포인트,pointeu,積分、要點,Point
4780,포크,pokeu,叉子,Fork
4781,한밤중,hanbamjung,深夜、半夜,Midnight
4782,효도,hyodo,孝道、孝順,Filial piety
4783,가구,gagu,家具,Furniture
4784,간호사,ganhosa,護士、護理師,Nurse
4785,개나리,gaenari,連翹、迎春花,A forsythia or a golden-bell tree
4786,고등학생,godeunghaksaeng,高中生,High school student
4787,골목길,golmokgil,巷弄、小巷,An alley
4788,귀가,gwiga,回家、歸宅,Returning home
4789,그리워하다,geuriwohada,想念、懷念,Yearn or be attached to
4790,기억나다,gieongnada,想起、記起,To memorize
4791,기침,gichim,咳嗽,Coughing
4792,노랫소리,noraetsori,歌聲,A singing voice
4793,다섯,daseot,五（純韓文數詞）,5
4794,닭고기,dakgogi,雞肉,Chicken meat for eating
4795,대학교수,daehakgyosu,大學教授,University professor
4796,딸아이,ttarai,女兒、小女兒,Daughter
4797,만족스럽다,manjokseureopda,令人滿意、心滿意足,Satisfied
4798,미움,mium,憎恨、嫌惡,Hatred
4799,바가지,bagaji,水瓢、葫蘆瓢 / 敲竹槓,A gourd dipper
4800,발끝,balkkeut,腳尖、腳趾端,On tiptoes
4801,배꼽,baekkop,肚臍,The navel
4802,병실,byeongsil,病房,An infirmary
4803,봉사하다,bongsahada,服務、奉獻,"serve,render service"
4804,비행장,bihaengjang,機場、停機坪,An airfield
4805,사랑스럽다,sarangseureopda,可愛、惹人憐愛,Lovely
4806,숟가락,sutgarak,湯匙、勺子,A spoon
4807,술병,sulbyeong,酒瓶,A bottle of alcohol
4808,습기,seupgi,濕氣、潮氣,"moisture,humidity"
4809,쓰이다,sseuida,被寫下 / 被使用（被動）,Be writted
4810,엽서,yeopseo,明信片,A postcard
4811,예보,yebo,預報,"forecast,predict"
4812,요일,yoil,星期、星期幾,A day of the week not the weekend
4813,욕실,yoksil,浴室,"A bathroom,a bath"
4814,용감하다,yonggamhada,勇敢,"To be brave, courageous"
4815,운전기사,unjeongisa,司機、駕駛員,The driver
4816,위험성,wiheomseong,危險性,"riskiness,jeapordy"
4817,익다,ikda,熟練、熟悉 / 熟、成熟,"Get familiar with, experienced with"
4818,일,il,一（漢字詞）,One
4819,장마,jangma,梅雨、雨季,The rainy spell in the summer
4820,재학,jaehak,在學、在讀,"To be in school, be attending school"
4821,전기,jeongi,傳記 / 前期,a biography
4822,전시하다,jeonsihada,展覽、陳列,To display
4823,정기적,jeonggijeok,定期的,"fixed,regular (time sth)"
4824,종교적,jonggyojeok,宗教的,Of religions
4825,주관적,jugwanjeok,主觀的,Subjective
4826,직장인,jikjangin,上班族、職場人士,A worker
4827,진심,jinsim,真心、由衷之情,"The whole heart, sincerity"
4828,질문하다,jilmunhada,提問、詢問,Ask a person a question
4829,짧아지다,jjalbajida,變短,To become short
4830,찌다,jjida,發胖、長肉、長胖,To put on weight
4831,책가방,chaekgabang,書包,Bookbag
4832,천국,cheonguk,天國、天堂,Heaven
4833,치약,chiyak,牙膏,Toothpaste
4834,큰절,keunjeol,大禮、深鞠躬、叩拜,A deep bow
4835,학과,hakgwa,學系、科系,A department in a college
4836,후회,huhoe,後悔、悔恨,"repentance,regret"
4837,강조,gangjo,強調,Emphasis or stress
4838,게시판,gesipan,公告欄、布告欄,A notice board or a bulletin board
4839,공통점,gongtongjeom,共同點、共通之處,A common point or a common feature
4840,과외,gwaoe,課外輔導、補習,Extracurricular work
4841,교내,gyonae,校內,Inside the school
4842,구,gu,區（行政區劃）,Ward or district
4843,금요일,geumyoil,星期五、週五,Friday
4844,김밥,gimbap,飯捲、紫菜包飯,Roll of rice and vegetables
4845,내적,naejeok,內在的、內心的,Internal
4846,놀이터,noriteo,遊樂場、兒童樂園,Playground
4847,다녀가다,danyeogada,來訪、順道拜訪,Drop in for a short visit
4848,답장,dapjang,回信、回函,An answer
4849,마라톤,maraton,馬拉松,Marathon
4850,매스컴,maeseukeom,大眾傳媒,Mass communication
4851,무,mu,無、虛無 / 白蘿蔔,"nothing,nil"
4852,묵다,mukda,住宿、過夜、投宿,Stay overnight s.w.
4853,바나나,banana,香蕉,Banana
4854,발등,baldeung,腳背,The instep of the foot
4855,밤새,bamsae,整夜、整晚,All night
4856,별일,byeoril,特別的事、不尋常的事,A particular thing
4857,보내오다,bonaeoda,寄來、送來,받다 receive
4858,부채,buchae,負債、債務 / 扇子,"A debt,liabilities"
4859,불법,bulbeop,佛法、佛教教義,Buddhism
4860,블라우스,beulrauseu,女襯衫、罩衫,Blouse
4861,사업가,saeopga,企業家、實業家,Businessman
4862,사이좋다,saijota,和睦、要好,Be on good terms with
4863,세상에,sesange,天啊、哎呀（驚訝感嘆詞）,In the world
4864,수고,sugo,辛苦、勞苦,"toil,labor,pains"
4865,수요일,suyoil,星期三、週三,Wednesday
4866,슬퍼하다,seulpeohada,悲傷、哀痛,"sorrow,feel sad"
4867,시금치,sigeumchi,菠菜,Spinach
4868,신청서,sincheongseo,申請書、申請表,"Application, application form"
4869,쓰레기통,sseuregitong,垃圾桶,Garbage can
4870,아랫사람,araetsaram,下屬、晚輩,Subordinate
4871,앞쪽,apjjok,前方、前面,"The front, the fore part"
4872,앨범,aelbeom,相簿、專輯,Album
4873,양,yang,羊、綿羊,"A sheep, ram"
4874,여전하다,yeojeonhada,依然如故、依舊,"Be unchanged, the same as before"
4875,영남,yeongnam,嶺南地區（慶尚道一帶）,The southeastern part of Korea
4876,옥상,oksang,屋頂、天台,On the roof
4877,왼발,oenbal,左腳,Left foot
4878,운전하다,unjeonhada,開車、駕駛,To drive
4879,위,wi,胃、胃部,The stomach
4880,일기,ilgi,天氣、氣候 / 日記,The weather
4881,일자리,iljari,工作、職位、差事,"A job, position"
4882,자매,jamae,姊妹,Sisters
4883,저번,jeobeon,上次、前幾天,"Last time, the other day"
4884,전시장,jeonsijang,展覽場、展廳,An exhibition hall
4885,절약,jeoryak,節約、節省,"thrift,savings,economy"
4886,정답,jeongdap,正確答案、正解,The right answer
4887,정오,jeongo,正午、中午十二點,Noon
4888,제대하다,jedaehada,退伍,Be discharged from the military
4889,졸다,jolda,打瞌睡、打盹,"doze,take a nap"
4890,즉석,jeukseok,當場、即席、即食,"instantly,impromptu"
4891,지방,jibang,脂肪、油脂,"Fat, grease, lard"
4892,차차,chacha,漸漸、逐步,Gradually
4893,추측,chucheuk,推測、揣測,"Guess, conjecture"
4894,충고,chunggo,忠告、勸告,"Advice, counsel, suggestion"
4895,코피,kopi,流鼻血、鼻血,A nose bleed
4896,턱,teok,緣故、理由 / 下巴,"Reason, grounds"
4897,팩시밀리,paeksimilri,傳真、傳真機,"Facximile, fax"
4898,한낮,hannat,正午、大白天,Noon
4899,할인,harin,折扣、打折,A discount
4900,가득히,gadeukhi,滿滿地、充沛地,Full
4901,간호,ganho,看護、護理,Nursing or care
4902,갑,gap,甲、第一位,1) The first 2) the former
4903,건너,geonneo,對面、彼岸,The other or opposite side
4904,걷다,geotda,步行、走、踏,Walk on or tread on
4905,겁나다,geomnada,害怕、恐懼,Be frightened or scared
4906,고구마,goguma,地瓜、番薯,Sweet potato
4907,국기,gukgi,國旗,The national flag
4908,금메달,geummedal,金牌,Gold medal
4909,노트,noteu,筆記本、筆記,A note
4910,눈감다,nungamda,閉眼、閉上眼睛 / 逝世,Close the eyes
4911,눈뜨다,nuntteuda,睜眼、睜開眼睛 / 開竅,Open one’s eyes
4912,대화하다,daehwahada,對話、交談,To converse
4913,도마,doma,砧板,A chopping board
4914,동화책,donghwachaek,童話書,A fairy tale
4915,모집하다,mojiphada,招募、募集,Call/appeal for
4916,미워하다,miwohada,討厭、憎恨,Dislike
4917,밤색,bamsaek,栗色、深棕色,"Chestnut color, maroon"
4918,밥맛,bammat,胃口、食慾 / 倒胃口,Appetite
4919,배우자,baeuja,配偶、伴侶,"A mate, life partner"
4920,복사,boksa,影印、複印、複製,Reproduction
4921,볶음밥,bokkeumbap,炒飯,Frizzled rice
4922,성별,seongbyeol,性別,Sex distinction
4923,세탁,setak,洗滌、洗衣,Laundry
4924,소문나다,somunnada,傳出名聲、名聲大噪,A rumor starts
4925,소용없다,soyongeopda,無用、沒有用,To be useless
4926,속상하다,soksanghada,傷心、惱火、難過,Be distressing
4927,손수건,sonsugeon,手帕,A handkerchief
4928,송아지,songaji,小牛、牛犢,"A calf,baby cow"
4929,수돗물,sudonmul,自來水,Tap water
4930,수만,suman,數萬,Tens of thousands
4931,수입되다,suipdoeda,被進口、引進（被動）,To be imported
4932,수입품,suippum,進口商品、舶來品,An imported product
4933,술자리,suljari,酒席、酒局,A banquet
4934,식기,sikgi,餐具、食器,An eating vessel
4935,싼값,ssangap,低廉價格、便宜價格,A low price
4936,안,an,方案、提案、提議,"A plan,proposal,suggestion"
4937,안부,anbu,問候、平安,"safety,welfare"
4938,양주,yangju,洋酒,Foreign wine/liquors
4939,어린이날,eorininal,兒童節,Children’s Day (may 5th)
4940,영화배우,yeonghwabaeu,電影演員,Movie actor
4941,오른발,oreunbal,右腳,The right foot
4942,용서,yongseo,原諒、饒恕,"pardon,forgiveness"
4943,우편,upyeon,郵件、郵遞,"post,mail"
4944,이사하다,isahada,搬家,To move house
4945,일등,ildeung,第一等、第一名,"First class, first class/grade"
4946,작아지다,jagajida,變小,Become smaller
4947,정장,jeongjang,正裝、西裝禮服,"Full dress, uniform"
4948,좁히다,jophida,縮小、縮窄,"Make narrow,restrict"
4949,좋아,joa,好、行（口語）,“That’s good”
4950,죽,juk,一直、筆直排開,"In a very straight line, in a row"
4951,줄무늬,julmunui,條紋,A stripe
4952,지워지다,jiwojida,被擦掉、抹去（被動）,To be erased
4953,지저분하다,jijeobunhada,髒亂、邋遢,"Be messy, soiled, dirty"
4954,진통,jintong,陣痛、分娩痛,"Labor pains, travail"
4955,찬성하다,chanseonghada,贊成、同意,"To approve, support (a plan)"
4956,참석,chamseok,出席、參加,"Attendance, participation"
4957,초콜릿,chokolrit,巧克力,Chocolate
4958,최고급,choegogeup,最高級,The highest grade/class
4959,최상,choesang,最上等、最佳,"The best, the finest"
4960,최악,choeak,最差、最壞、最糟,The worst
4961,출국,chulguk,出國、離境,Leaving a country
4962,친해지다,chinhaejida,變親近、親熟起來,"To get close, to get friendly"
4963,코끝,kokkeut,鼻尖,The tip of one’s nose
4964,터미널,teomineol,轉運站、客運總站,Terminal
4965,피자,pija,披薩,Pizza
